-0.045,0.151,-0.12,0.119,0.097,-0.023,0.022,-0.159,-0.01,-0.218,0.138,-0.099,-0.036,0.329,0.049
0.033,-0.21,-0.27,0.006,0.027,0.273,-0.093,-0.113,-0.641,0.124,0.059,-0.06,0.624,0.169,-0.172
-0.022,-0.06,-0.238,0.365,0.143,0.156,-0.12,0.094,-0.35,0.118,-0.581,0.12,-0.348,0.188,0.035
-0.115,-0.078,0.046,-1.033,-0.053,0.077,0.098,0.624,-0.099,-0.29,0.051,-0.532,-3.33,0.364,-0.241
-0.008,-0.301,0.054,1.127,-0.082,0.024,0.045,0.393,-0.066,0.233,0.116,-0.015,0.06,-0.154,0.175
0.114,-0.061,-0.007,-16.187,0.122,0.035,0.082,3.832,0.219,0.075,0.417,0.375,-0.902,0.143,0.254
0.097,-0.147,0.09,0.871,0.013,0.3,0.061,0,0.407,0.419,-0.172,-0.168,-0.289,0.057,0.254
-0.019,0.005,0.177,0.234,0.085,0.195,0.159,0.757,-0.352,0.062,0.138,0.111,-0.51,0.215,0.161
-0.04,0.186,0.16,0.553,0.097,-0.004,0.005,-5.521,0.28,0.044,0.196,0.448,0.218,-0.297,0.015
0.166,-0.082,0.256,-0.065,-0.043,-0.038,0.155,0.245,0,0.219,0.235,-0.182,0.229,-0.078,0.063
0.147,-0.136,0.097,0.282,0.019,0.022,0.199,-0.188,0.375,0.141,0.116,-0.027,0.382,0.227,-0.117
-0.097,-0.352,0.193,0.581,0.108,0.07,-0.078,-0.473,0.105,0.781,0.242,0.04,0.183,-0.161,-0.025
0.049,0.024,0.078,0.074,-0.013,0.31,-0.032,-0.015,0.437,0.207,-0.021,-0.338,-0.281,0.301,0.035
0.095,0.207,0.13,-0.051,-0.031,0.111,-0.021,0.275,0.661,-0.074,0.216,0.049,-0.046,0.053,0.003
0.187,0.148,-0.001,0.642,0.05,-0.035,0.411,0.004,0.172,-0.292,0.039,-0.214,-1.191,0.312,0.312
-0.021,0.18,0.257,0.397,0.263,-0.273,0.272,0.357,0.054,-0.474,0.415,-0.906,-2.454,0.126,0.192
0.114,0.33,-0.18,0.675,0.029,0.095,0.178,0.7,0.037,0.417,0.046,0.41,1.306,0.448,0.026
0.088,-0.051,0.016,0.291,0.014,-0.018,0.037,0.35,0.327,0.128,0.056,0.065,-0.004,0.034,0.02
0.151,0.101,0.02,-0.612,-0.035,0.057,-0.021,-0.386,-0.207,-0.182,0.053,-0.016,0.15,-0.057,0.026
-0.006,0.324,0.022,-0.152,0.084,0.028,-0.085,0.774,0.397,-0.12,0.112,0.005,-0.048,-0.101,-0.087
0.053,0.127,-0.026,0.154,0.028,0.19,0.13,0.193,-0.011,0.201,0.213,-0.03,0.261,0.218,-0.035
0.17,0.096,-0.021,0.457,0.083,0.083,0.052,0,-0.196,-0.116,0.201,-0.17,0.195,0.091,-0.23
-0.025,-0.072,-0.253,-0.086,0.004,0.004,-0.067,0.998,-0.264,0.3,0.281,0.016,0.555,0.109,0.354
0.146,-0.338,0.123,0.087,-0.017,-0.017,0.087,0.172,0.184,0.134,-0.273,0.022,-0.119,0.136,0.095
0.106,-0.363,0.187,-0.336,-0.025,-0.025,-0.002,0.499,1.081,0.555,0.426,-0.029,-1.073,0.343,0.636
0.07,0.028,0.136,0.058,0.135,0.079,-0.022,0.681,0.261,0.126,0.228,0.147,0.225,0.188,0.053
0.087,0.032,0.197,0.348,0.132,0.406,-0.055,0.103,0.198,0.384,0.058,-0.236,0.051,0.248,-0.152
0.091,-0.156,0.097,0.085,-0.019,0.108,0.072,0.04,-0.21,0.005,0.209,-0.247,-0.167,-0.134,0.001
0.087,0.172,0.129,-0.304,0.145,0.106,-0.542,0.116,0.145,-0.068,0.001,-0.539,-0.238,0.092,0.129
0.052,0.067,0.035,0.382,-0.007,0.17,-0.325,0.024,-0.488,0.129,0.055,0,0.083,0.114,-1.021
0.091,-0.053,0.317,-0.202,0.036,0.105,-0.25,0.011,-2.211,0.376,0.169,0,0.084,0.189,0.298
0.061,-0.182,0.054,-2.252,0.267,-0.046,-0.031,-0.166,-0.086,1.112,0.288,0,-0.738,-0.003,0.134
-0.048,0.08,-0.054,-0.406,0.101,-0.12,-0.103,0.498,0.603,-0.909,0.381,-3.378,0,0.766,0.28
0.065,-0.243,-0.027,0.213,0.037,0.053,0.087,1.393,0.195,-0.04,0.324,-0.176,0,0.179,-0.092
-0.113,0.348,0.114,-1.476,-0.028,-0.07,-0.032,0.663,0.199,0.28,0.275,0.198,0.073,0.412,-0.04
0.126,0.26,-0.052,-1.43,-0.09,0.014,0.077,0.331,0.217,-0.084,0.271,-0.182,0.259,0.149,0.134
